Tag	GT_F_A	GT_F_FM	BLS_data
"0.00 <= x < 0.08"	0.3778213935	0.3778213935	0.1844946026
"0.08 <= x < 0.17"	0.2767419038	0.2492639843	0.0667320903
"0.17 <= x < 0.25"	0.1952894995	0.1069676153	0.1010794897
"0.25 <= x < 0.33"	0.0873405299	0.1108930324	0.2306182532
"0.33 <= x < 0.42"	0.0333660451	0.0667320903	0.0520117763
"0.42 <= x < 0.50"	0.0196270854	0.0353287537	0.0794896958
"0.50 <= x < 0.58"	0.0078508342	0.0284592738	0.0569185476
"0.58 <= x < 0.67"	0.0019627085	0.0088321884	0.0628066732
"0.67 <= x < 0.75"	0	0.0088321884	0.0559371933
"0.75 <= x < 0.83"	0	0.0039254171	0.0539744848
"0.83 <= x < 0.92"	0	0.0019627085	0.0392541708
"0.92 <= x < 1.00"	0	0	0.0166830226
"x = 1"	0	0.0009813543	0
